schema_version,regime,ticker,strategy,benchmark_ticker,return,sharpe,drawdown,trade_count,win_rate,profit_factor,benchmark_relative_performance,average_exposure,regime_information_cutoff,volatility_threshold_method,return_attribution_policy
2,bull/high_volatility,BTC-USD,RSI_Mean_Reversion,BTC-USD,0.243278,1.423824,-0.048724,5,1.000000,24188.255996,-6.777921,0.130564,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,BTC-USD,RSI_Mean_Reversion,BTC-USD,0.266824,0.746518,-0.230984,10,0.500000,0.359415,0.395164,0.800554,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,BTC-USD,RSI_Mean_Reversion,BTC-USD,0.354391,1.137962,-0.117190,3,0.000000,0.000000,-0.174478,0.908714,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,BTC-USD,RSI_Mean_Reversion,BTC-USD,-0.152587,-0.721232,-0.266748,7,0.500000,0.880956,0.049266,0.311594,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,BTC-USD,RSI_Mean_Reversion,BTC-USD,-0.309889,-3.211981,-0.316287,2,1.000000,13950.147386,0.059419,0.500000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,BTC-USD,MACD_Momentum,BTC-USD,0.393919,0.599478,-0.367887,56,0.346154,1.642770,-0.400373,0.419540,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,BTC-USD,MACD_Momentum,BTC-USD,2.145457,2.381805,-0.183224,20,0.818182,8.629398,-4.875742,0.554896,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,BTC-USD,MACD_Momentum,BTC-USD,-0.013478,0.099976,-0.293883,29,0.117647,0.142098,0.114862,0.576177,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,BTC-USD,MACD_Momentum,BTC-USD,-0.083860,-0.094185,-0.366797,15,0.250000,0.124361,-0.612730,0.560166,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,BTC-USD,MACD_Momentum,BTC-USD,0.101342,0.467690,-0.230189,17,0.400000,1.127095,0.303195,0.507246,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,BTC-USD,MACD_Momentum,BTC-USD,0.054072,0.623542,-0.158794,6,0.333333,1.355752,0.423380,0.512500,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
