ticker,strategy,parameter_set,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
SPY,MACD_Momentum,fast=12;slow=26;signal=9,0,5,0.389050,0.545252,159.390916,7969.524527,0.086703,27.435728
SPY,MACD_Momentum,fast=12;slow=26;signal=9,0,10,0.306363,0.453503,154.452821,15445.204516,0.169390,28.086280
SPY,MACD_Momentum,fast=12;slow=26;signal=9,0,25,0.087589,0.180670,140.934167,35233.172653,0.388164,30.641253
SPY,MACD_Momentum,fast=12;slow=26;signal=9,5,0,0.389050,0.545252,159.390491,7969.524527,0.086703,27.435728
SPY,MACD_Momentum,fast=12;slow=26;signal=9,5,5,0.306363,0.453503,154.452433,15445.223911,0.169390,28.086248
SPY,MACD_Momentum,fast=12;slow=26;signal=9,5,10,0.229095,0.362505,149.748788,22462.246822,0.246658,28.931992
SPY,MACD_Momentum,fast=12;slow=26;signal=9,5,25,0.022632,0.089727,136.779316,41033.459954,0.453121,31.498422
SPY,MACD_Momentum,fast=12;slow=26;signal=9,10,0,0.306363,0.453503,154.452045,15445.204516,0.169390,28.086280
SPY,MACD_Momentum,fast=12;slow=26;signal=9,10,5,0.229095,0.362505,149.748431,22462.246822,0.246658,28.931992
SPY,MACD_Momentum,fast=12;slow=26;signal=9,10,10,0.156304,0.271492,145.318200,29063.574867,0.319449,29.785870
SPY,MACD_Momentum,fast=12;slow=26;signal=9,10,25,-0.038453,-0.000693,132.765571,46467.645266,0.514206,32.382655
SPY,MACD_Momentum,fast=12;slow=26;signal=9,20,0,0.156305,0.271493,145.317548,29063.509639,0.319448,29.785930
SPY,MACD_Momentum,fast=12;slow=26;signal=9,20,5,0.087589,0.180669,140.932986,35233.231713,0.388164,30.641206
SPY,MACD_Momentum,fast=12;slow=26;signal=9,20,10,0.022632,0.089727,136.778512,41033.500132,0.453121,31.498394
SPY,MACD_Momentum,fast=12;slow=26;signal=9,20,25,-0.149304,-0.178732,125.180292,56330.883411,0.625057,34.251108
TSLA,MA_Cross,short=20;long=50,0,0,3.479983,0.791362,86.557511,0.000000,0.000000,0.000000
TSLA,MA_Cross,short=20;long=50,0,5,3.415955,0.785704,85.925776,4296.268163,0.064028,271.753446
TSLA,MA_Cross,short=20;long=50,0,10,3.352647,0.780107,85.292384,8529.159619,0.127336,273.291238
TSLA,MA_Cross,short=20;long=50,0,25,3.168405,0.763229,83.483803,20870.528058,0.311578,279.222149
TSLA,MA_Cross,short=20;long=50,5,0,3.415955,0.785704,85.925363,4296.268163,0.064028,271.753446
TSLA,MA_Cross,short=20;long=50,5,5,3.352647,0.780107,85.291990,8529.179325,0.127336,273.290815
TSLA,MA_Cross,short=20;long=50,5,10,3.290489,0.774475,84.685029,12702.679333,0.189494,275.469808
TSLA,MA_Cross,short=20;long=50,5,25,3.107798,0.757542,82.885828,24865.346775,0.372185,280.503967
TSLA,MA_Cross,short=20;long=50,10,0,3.352647,0.780107,85.291596,8529.159619,0.127336,273.291238
TSLA,MA_Cross,short=20;long=50,10,5,3.290489,0.774475,84.684654,12702.679333,0.189494,275.469808
TSLA,MA_Cross,short=20;long=50,10,10,3.228969,0.768841,84.083840,16816.696494,0.251014,277.273763
TSLA,MA_Cross,short=20;long=50,10,25,3.050290,0.752001,82.314311,28809.629925,0.429693,283.456544
TSLA,MA_Cross,short=20;long=50,20,0,3.228969,0.768841,84.083125,16816.624948,0.251014,277.274553
TSLA,MA_Cross,short=20;long=50,20,5,3.168404,0.763228,83.482450,20870.595699,0.311579,279.221543
TSLA,MA_Cross,short=20;long=50,20,10,3.107797,0.757542,82.884864,24865.394965,0.372186,280.503604
TSLA,MA_Cross,short=20;long=50,20,25,2.934286,0.740744,81.134750,36510.302563,0.545697,286.970817
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,0,1.542419,0.575249,56.966047,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,5,1.497275,0.568229,56.419473,2821.011802,0.045144,170.834979
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,10,1.453100,0.561252,55.880324,5588.183250,0.089319,172.686550
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,25,1.324098,0.540125,54.296495,13575.036215,0.218320,176.623368
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,0,1.497275,0.568229,56.420236,2821.011802,0.045144,170.834979
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,5,1.453100,0.561252,55.881078,5588.145526,0.089319,172.687279
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,10,1.410503,0.554420,55.347652,8302.297124,0.131916,175.386599
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,25,1.283080,0.533197,53.771637,16132.393896,0.259339,178.425237
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,0,1.453100,0.561252,55.881833,5588.183250,0.089319,172.686550
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,5,1.410503,0.554420,55.348399,8302.297124,0.131916,175.386599
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,10,1.367521,0.547386,54.814642,10963.076084,0.174898,176.379400
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,25,1.242835,0.526275,53.267885,18644.653091,0.299584,180.198991
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,0,1.367519,0.547386,54.816119,10963.223799,0.174899,176.377911
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,5,1.324100,0.540126,54.299415,13574.890230,0.218319,176.624549
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,10,1.283081,0.533197,53.773804,16132.285566,0.259338,178.425982
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,25,0.944321,0.471964,48.190808,21686.589519,0.598098,116.049295
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,0,0,9.020979,1.148629,371.954540,0.000000,0.000000,0.000000
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,0,5,8.520890,1.127362,359.606004,17980.517713,0.500089,90.193697
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,0,10,8.054473,1.106320,348.049609,34805.801114,0.966506,93.335964
