ticker,strategy,window_id,date,portfolio_value,cash,holdings,total_return,drawdown
MSFT,RSI_Mean_Reversion,2,2024-03-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-03-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-03-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-03-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-03-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-01,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-22,100066.564997,4638.087031,95428.477966,0.000666,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-23,101639.748774,4638.087031,97001.661743,0.016397,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-24,101994.366450,4638.087031,97356.279419,0.019944,0.000000
MSFT,RSI_Mean_Reversion,2,2024-04-25,99609.609065,4638.087031,94971.522034,-0.003904,-0.023381
MSFT,RSI_Mean_Reversion,2,2024-04-26,101342.248774,4638.087031,96704.161743,0.013422,-0.006394
MSFT,RSI_Mean_Reversion,2,2024-04-29,100373.587031,4638.087031,95735.500000,0.003736,-0.015891
MSFT,RSI_Mean_Reversion,2,2024-04-30,97298.623835,4638.087031,92660.536804,-0.027014,-0.046039
MSFT,RSI_Mean_Reversion,2,2024-05-01,98633.807612,4638.087031,93995.720581,-0.013662,-0.032948
MSFT,RSI_Mean_Reversion,2,2024-05-02,99324.006159,4638.087031,94685.919128,-0.006760,-0.026181
MSFT,RSI_Mean_Reversion,2,2024-05-03,101423.167903,4638.087031,96785.080872,0.014232,-0.005600
MSFT,RSI_Mean_Reversion,2,2024-05-06,103060.609065,4638.087031,98422.522034,0.030606,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-07,102061.006159,4638.087031,97422.919128,0.020610,-0.009699
MSFT,RSI_Mean_Reversion,2,2024-05-08,102346.609065,4638.087031,97708.522034,0.023466,-0.006928
MSFT,RSI_Mean_Reversion,2,2024-05-09,102770.248774,4638.087031,98132.161743,0.027702,-0.002817
MSFT,RSI_Mean_Reversion,2,2024-05-10,103346.204707,4638.087031,98708.117676,0.033462,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-13,103103.447322,4638.087031,98465.360291,0.031034,-0.002349
MSFT,RSI_Mean_Reversion,2,2024-05-14,103779.366450,4638.087031,99141.279419,0.037794,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-15,105331.123835,4638.087031,100693.036804,0.053311,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-16,104833.704707,4638.087031,100195.617676,0.048337,-0.004722
MSFT,RSI_Mean_Reversion,2,2024-05-17,104648.064997,4638.087031,100009.977966,0.046481,-0.006485
MSFT,RSI_Mean_Reversion,2,2024-05-20,105869.006159,4638.087031,101230.919128,0.058690,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-21,106071.296323,106071.296323,0.000000,0.060713,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-22,106071.296323,106071.296323,0.000000,0.060713,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-23,106071.296323,106071.296323,0.000000,0.060713,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-24,106071.296323,106071.296323,0.000000,0.060713,0.000000
MSFT,RSI_Mean_Reversion,2,2024-05-28,106071.296323,106071.296323,0.000000,0.060713,0.000000
